Country;NUTS_Code;Air_Pollutant;Outcome;Affected_Population;Populated_Area[km2];Air_Pollution_Average[ug/m3];Value;;;;;;;;
Albania;AL035;PM2.5;Asthma;27455,00;741,10;10,70;0,00;;;;;;;;
Albania;AL031;NO2;Asthma;119255,00;740,10;5,80;0,00;;;;;;;;
Albania;AL032;PM2.5;Asthma;50838,00;1121,00;13,80;0,00;;;;;;;;
Albania;AL034;NO2;Asthma;185447,00;766,40;5,80;3,00;;;;;;;;
Albania;AL033;NO2;Asthma;60278,00;672,90;4,50;0,00;;;;;;;;
Albania;AL034;PM2.5;Asthma;36183,00;766,40;9,80;0,00;;;;;;;;
Albania;AL035;NO2;Asthma;140713,00;741,10;5,30;0,00;;;;;;;;
Albania;AL035;NO2;Asthma;140713,00;741,10;5,30;2,00;;;;;;;;
Albania;AL;PM2.5;Chronic obstructive pulmonary disease;1950993,00;11299,00;11,30;875,00;;;;;;;;
Albania;AL0;PM2.5;Chronic obstructive pulmonary disease;1950993,00;11299,00;11,30;875,00;;;;;;;;
Albania;AL01;PM2.5;Chronic obstructive pulmonary disease;577075,00;4573,00;10,90;226,00;;;;;;;;
Albania;AL03;PM2.5;Chronic obstructive pulmonary disease;639563,00;4041,50;11,30;264,00;;;;;;;;
Albania;AL02;PM2.5;Chronic obstructive pulmonary disease;734355,00;2684,50;12,10;384,00;;;;;;;;
Albania;AL031;PM2.5;Chronic obstructive pulmonary disease;99538,00;740,10;11,20;40,00;;;;;;;;
Albania;AL022;PM2.5;Chronic obstructive pulmonary disease;526612,00;994,00;13,80;298,00;;;;;;;;
Albania;AL032;PM2.5;Chronic obstructive pulmonary disease;217475,00;1121,00;13,80;98,00;;;;;;;;
Albania;AL015;PM2.5;Chronic obstructive pulmonary disease;150994,00;1354,00;10,30;54,00;;;;;;;;
Albania;AL012;PM2.5;Chronic obstructive pulmonary disease;178414,00;566,30;14,30;86,00;;;;;;;;
Albania;AL021;PM2.5;Chronic obstructive pulmonary disease;207743,00;1690,50;11,00;86,00;;;;;;;;
Albania;AL033;PM2.5;Chronic obstructive pulmonary disease;50312,00;672,90;9,60;16,00;;;;;;;;
Albania;AL034;PM2.5;Chronic obstructive pulmonary disease;154787,00;766,30;9,80;63,00;;;;;;;;
Albania;AL014;PM2.5;Chronic obstructive pulmonary disease;92026,00;844,20;11,40;34,00;;;;;;;;
Albania;AL011;PM2.5;Chronic obstructive pulmonary disease;95941,00;1014,30;10,00;31,00;;;;;;;;
Albania;AL013;PM2.5;Chronic obstructive pulmonary disease;59697,00;794,20;10,10;19,00;;;;;;;;
Albania;AL035;PM2.5;Chronic obstructive pulmonary disease;117449,00;741,10;10,70;44,00;;;;;;;;
Andorra;AD;PM2.5;Chronic obstructive pulmonary disease;56150,00;56,80;6,60;0,00;;;;;;;;
Albania;AL;O3;Chronic obstructive pulmonary disease;1950993,00;11299,00;97,90;47,00;;;;;;;;
Albania;AL;O3;Chronic obstructive pulmonary disease;1950993,00;11299,00;97,90;454,00;;;;;;;;
Albania;AL;PM2.5;Chronic obstructive pulmonary disease;1950993,00;11299,00;11,30;1757,00;;;;;;;;
Albania;AL0;O3;Chronic obstructive pulmonary disease;1950993,00;11299,00;97,90;47,00;;;;;;;;
Albania;AL0;O3;Chronic obstructive pulmonary disease;1950993,00;11299,00;97,90;454,00;;;;;;;;
Albania;AL0;PM2.5;Chronic obstructive pulmonary disease;1950993,00;11299,00;11,30;1757,00;;;;;;;;
Andorra;AD;PM2.5;Chronic obstructive pulmonary disease;56150,00;56,80;6,60;0,00;;;;;;;;
Andorra;AD;PM2.5;Chronic obstructive pulmonary disease;56150,00;56,80;6,60;0,00;;;;;;;;
Albania;AL01;O3;Chronic obstructive pulmonary disease;577075,00;4573,00;96,10;13,00;;;;;;;;
Albania;AL01;PM2.5;Chronic obstructive pulmonary disease;577075,00;4573,00;10,90;452,00;;;;;;;;
Albania;AL02;O3;Chronic obstructive pulmonary disease;734355,00;2684,50;98,80;18,00;;;;;;;;
Andorra;AD;PM2.5;Chronic obstructive pulmonary disease;56150,00;56,80;6,60;0,00;;;;;;;;
Albania;AL03;O3;Chronic obstructive pulmonary disease;639563,00;4041,50;99,30;146,00;;;;;;;;
Austria;AT333;PM2.5;Chronic obstructive pulmonary disease;39690,00;387,50;5,00;0,00;;;;;;;;
Albania;AL01;O3;Chronic obstructive pulmonary disease;577075,00;4573,00;96,10;127,00;;;;;;;;
Albania;AL03;O3;Chronic obstructive pulmonary disease;639563,00;4041,50;99,30;15,00;;;;;;;;
Albania;AL02;O3;Chronic obstructive pulmonary disease;734355,00;2684,50;98,80;179,00;;;;;;;;
Albania;AL02;PM2.5;Chronic obstructive pulmonary disease;734355,00;2684,50;12,10;776,00;;;;;;;;
Albania;AL03;PM2.5;Chronic obstructive pulmonary disease;639563,00;4041,50;11,30;528,00;;;;;;;;
Albania;AL012;O3;Chronic obstructive pulmonary disease;178414,00;566,30;97,00;4,00;;;;;;;;
Albania;AL015;O3;Chronic obstructive pulmonary disease;150994,00;1354,00;96,30;3,00;;;;;;;;
Austria;AT321;PM2.5;Chronic obstructive pulmonary disease;16485,00;232,40;5,20;0,00;;;;;;;;
Albania;AL021;PM2.5;Chronic obstructive pulmonary disease;207743,00;1690,50;11,00;172,00;;;;;;;;
Albania;AL021;O3;Chronic obstructive pulmonary disease;207743,00;1690,50;98,30;5,00;;;;;;;;
Albania;AL011;O3;Chronic obstructive pulmonary disease;95941,00;1014,30;94,30;19,00;;;;;;;;
Albania;AL012;O3;Chronic obstructive pulmonary disease;178414,00;566,30;97,00;40,00;;;;;;;;
Austria;AT331;PM2.5;Chronic obstructive pulmonary disease;25349,00;227,40;5,00;0,00;;;;;;;;
Albania;AL015;O3;Chronic obstructive pulmonary disease;150994,00;1354,00;96,30;34,00;;;;;;;;
Albania;AL015;PM2.5;Chronic obstructive pulmonary disease;150994,00;1354,00;10,30;108,00;;;;;;;;
Albania;AL031;PM2.5;Chronic obstructive pulmonary disease;99538,00;740,10;11,20;81,00;;;;;;;;
Albania;AL022;O3;Chronic obstructive pulmonary disease;526612,00;994,00;99,70;130,00;;;;;;;;
Albania;AL031;O3;Chronic obstructive pulmonary disease;99538,00;740,10;99,40;23,00;;;;;;;;
Austria;AT321;PM2.5;Diabetes Mellitus;16485,00;232,40;5,20;0,00;;;;;;;;
Albania;AL011;PM2.5;Chronic obstructive pulmonary disease;95941,00;1014,30;10,00;62,00;;;;;;;;
Albania;AL012;PM2.5;Chronic obstructive pulmonary disease;178414,00;566,30;14,30;174,00;;;;;;;;
Albania;AL022;O3;Chronic obstructive pulmonary disease;526612,00;994,00;99,70;13,00;;;;;;;;
Albania;AL022;PM2.5;Chronic obstructive pulmonary disease;526612,00;994,00;13,80;603,00;;;;;;;;
Albania;AL013;O3;Chronic obstructive pulmonary disease;59697,00;794,20;97,00;1,00;;;;;;;;
Albania;AL011;O3;Chronic obstructive pulmonary disease;95941,00;1014,30;94,30;2,00;;;;;;;;
Albania;AL032;O3;Chronic obstructive pulmonary disease;217475,00;1121,00;99,30;5,00;;;;;;;;
Albania;AL034;O3;Chronic obstructive pulmonary disease;154787,00;766,40;96,40;27,00;;;;;;;;
Albania;AL021;O3;Chronic obstructive pulmonary disease;207743,00;1690,50;98,30;49,00;;;;;;;;
Albania;AL035;O3;Chronic obstructive pulmonary disease;117449,00;741,10;101,20;29,00;;;;;;;;
Albania;AL014;O3;Chronic obstructive pulmonary disease;92026,00;844,20;96,30;2,00;;;;;;;;
Austria;AT331;PM2.5;Diabetes Mellitus;25349,00;227,40;5,00;0,00;;;;;;;;
Albania;AL013;O3;Chronic obstructive pulmonary disease;59697,00;794,20;97,00;12,00;;;;;;;;
Austria;AT321;PM2.5;Ischemic heart disease;16485,00;232,40;5,20;0,00;;;;;;;;
Albania;AL031;O3;Chronic obstructive pulmonary disease;99538,00;740,10;99,40;2,00;;;;;;;;
Austria;AT331;PM2.5;Lung cancer;25349,00;227,40;5,00;0,00;;;;;;;;
Albania;AL013;PM2.5;Chronic obstructive pulmonary disease;59697,00;794,20;10,10;37,00;;;;;;;;
Austria;AT321;PM2.5;Lung cancer;16485,00;232,40;5,20;0,00;;;;;;;;
Albania;AL014;PM2.5;Chronic obstructive pulmonary disease;92026,00;844,20;11,40;68,00;;;;;;;;
Austria;AT333;PM2.5;Lung cancer;39690,00;387,40;5,00;0,00;;;;;;;;
Austria;AT321;PM2.5;Stroke;16485,00;232,40;5,20;0,00;;;;;;;;
Albania;AL014;O3;Chronic obstructive pulmonary disease;92026,00;844,20;96,30;20,00;;;;;;;;
Albania;AL033;O3;Chronic obstructive pulmonary disease;50312,00;672,90;100,20;11,00;;;;;;;;
Albania;AL032;O3;Chronic obstructive pulmonary disease;217475,00;1121,00;99,30;53,00;;;;;;;;
Albania;AL032;PM2.5;Chronic obstructive pulmonary disease;217475,00;1121,00;13,80;197,00;;;;;;;;
Austria;AT331;PM2.5;Stroke;25349,00;227,40;5,00;0,00;;;;;;;;
Belgium;BE342;PM2.5;Chronic obstructive pulmonary disease;35129,00;598,80;5,60;0,00;;;;;;;;
Albania;AL033;PM2.5;Chronic obstructive pulmonary disease;50312,00;672,90;9,60;33,00;;;;;;;;
Albania;AL034;PM2.5;Chronic obstructive pulmonary disease;154787,00;766,40;9,80;126,00;;;;;;;;
Albania;AL035;PM2.5;Chronic obstructive pulmonary disease;117449,00;741,10;10,70;88,00;;;;;;;;
Albania;AL033;O3;Chronic obstructive pulmonary disease;50312,00;672,90;100,20;1,00;;;;;;;;
Albania;AL034;O3;Chronic obstructive pulmonary disease;154787,00;766,40;96,40;2,00;;;;;;;;
Belgium;BE343;PM2.5;Chronic obstructive pulmonary disease;42556,00;557,30;6,00;0,00;;;;;;;;
Albania;AL035;O3;Chronic obstructive pulmonary disease;117449,00;741,10;101,20;3,00;;;;;;;;
Albania;AL;PM2.5;Diabetes Mellitus;1950993,00;11299,00;11,30;1077,00;;;;;;;;
Albania;AL;NO2;Diabetes Mellitus;1950993,00;11299,00;5,50;322,00;;;;;;;;
Albania;AL0;NO2;Diabetes Mellitus;1950993,00;11299,00;5,50;322,00;;;;;;;;
Albania;AL0;PM2.5;Diabetes Mellitus;1950993,00;11299,00;11,30;1077,00;;;;;;;;
Albania;AL01;NO2;Diabetes Mellitus;577075,00;4573,00;4,70;43,00;;;;;;;;
Albania;AL03;NO2;Diabetes Mellitus;639563,00;4041,50;6,00;72,00;;;;;;;;
Albania;AL01;PM2.5;Diabetes Mellitus;577075,00;4573,00;10,90;273,00;;;;;;;;
Albania;AL02;PM2.5;Diabetes Mellitus;734355,00;2684,50;12,10;483,00;;;;;;;;
Albania;AL03;PM2.5;Diabetes Mellitus;639563,00;4041,50;11,30;320,00;;;;;;;;
Albania;AL02;NO2;Diabetes Mellitus;734355,00;2684,50;6,00;205,00;;;;;;;;
Albania;AL014;NO2;Diabetes Mellitus;92026,00;844,20;5,00;4,00;;;;;;;;
Albania;AL022;PM2.5;Diabetes Mellitus;526612,00;994,00;13,80;378,00;;;;;;;;
Albania;AL015;PM2.5;Diabetes Mellitus;150994,00;1354,00;10,30;65,00;;;;;;;;
Albania;AL031;PM2.5;Diabetes Mellitus;99538,00;740,10;11,20;49,00;;;;;;;;
Albania;AL012;NO2;Diabetes Mellitus;178414,00;566,30;7,00;12,00;;;;;;;;
Albania;AL012;PM2.5;Diabetes Mellitus;178414,00;566,30;14,30;106,00;;;;;;;;
Albania;AL011;NO2;Diabetes Mellitus;95941,00;1014,30;4,30;4,00;;;;;;;;
Albania;AL011;PM2.5;Diabetes Mellitus;95941,00;1014,30;10,00;37,00;;;;;;;;
Albania;AL033;NO2;Diabetes Mellitus;50312,00;672,90;4,50;4,00;;;;;;;;
Albania;AL015;NO2;Diabetes Mellitus;150994,00;1354,00;4,30;16,00;;;;;;;;
Albania;AL034;PM2.5;Diabetes Mellitus;154787,00;766,40;9,80;77,00;;;;;;;;
Albania;AL013;NO2;Diabetes Mellitus;59697,00;794,20;4,20;5,00;;;;;;;;
Albania;AL013;PM2.5;Diabetes Mellitus;59697,00;794,20;10,10;22,00;;;;;;;;
Albania;AL021;PM2.5;Diabetes Mellitus;207743,00;1690,50;11,00;105,00;;;;;;;;
Albania;AL032;NO2;Diabetes Mellitus;217475,00;1121,00;7,60;21,00;;;;;;;;
Albania;AL014;PM2.5;Diabetes Mellitus;92026,00;844,20;11,40;41,00;;;;;;;;
Albania;AL033;PM2.5;Diabetes Mellitus;50312,00;672,90;9,60;19,00;;;;;;;;
Albania;AL021;NO2;Diabetes Mellitus;207743,00;1690,50;5,20;21,00;;;;;;;;
Albania;AL022;NO2;Diabetes Mellitus;526612,00;994,00;7,50;184,00;;;;;;;;
Albania;AL035;PM2.5;Diabetes Mellitus;117449,00;741,10;10,70;53,00;;;;;;;;
Albania;AL031;NO2;Diabetes Mellitus;99538,00;740,10;5,80;11,00;;;;;;;;
Albania;AL032;PM2.5;Diabetes Mellitus;217475,00;1121,00;13,80;120,00;;;;;;;;
Albania;AL035;NO2;Diabetes Mellitus;117449,00;741,10;5,30;14,00;;;;;;;;
Albania;AL034;NO2;Diabetes Mellitus;154787,00;766,40;5,80;20,00;;;;;;;;
Albania;AL;NO2;Diabetes Mellitus;1950993,00;11299,00;5,50;840,00;;;;;;;;
Belgium;BE344;PM2.5;Chronic obstructive pulmonary disease;45918,00;600,70;5,70;0,00;;;;;;;;
Albania;AL;PM2.5;Diabetes Mellitus;1950993,00;11299,00;11,30;5191,00;;;;;;;;
Albania;AL;NO2;Diabetes Mellitus;1950993,00;11299,00;5,50;88,00;;;;;;;;
Albania;AL0;NO2;Diabetes Mellitus;1950993,00;11299,00;5,50;840,00;;;;;;;;
Belgium;BE345;PM2.5;Chronic obstructive pulmonary disease;39900,00;371,90;6,30;0,00;;;;;;;;
Albania;AL0;PM2.5;Diabetes Mellitus;1950993,00;11299,00;11,30;5191,00;;;;;;;;
Albania;AL0;NO2;Diabetes Mellitus;1950993,00;11299,00;5,50;88,00;;;;;;;;
Albania;AL01;NO2;Diabetes Mellitus;577075,00;4573,00;4,70;12,00;;;;;;;;
Belgium;BE341;PM2.5;Chronic obstructive pulmonary disease;44759,00;208,00;6,50;0,00;;;;;;;;
Albania;AL02;NO2;Diabetes Mellitus;734355,00;2684,50;6,00;56,00;;;;;;;;
Belgium;BE341;PM2.5;Diabetes Mellitus;44759,00;208,00;6,50;0,00;;;;;;;;
Albania;AL01;NO2;Diabetes Mellitus;577075,00;4573,00;4,70;117,00;;;;;;;;
Albania;AL02;NO2;Diabetes Mellitus;734355,00;2684,50;6,00;530,00;;;;;;;;
Albania;AL03;NO2;Diabetes Mellitus;639563,00;4041,50;6,00;192,00;;;;;;;;
Albania;AL01;PM2.5;Diabetes Mellitus;577075,00;4573,00;10,90;1367,00;;;;;;;;
Belgium;BE345;PM2.5;Diabetes Mellitus;39900,00;371,90;6,30;0,00;;;;;;;;
Albania;AL03;PM2.5;Diabetes Mellitus;639563,00;4041,50;11,30;1587,00;;;;;;;;
Albania;AL03;NO2;Diabetes Mellitus;639563,00;4041,50;6,00;20,00;;;;;;;;
Albania;AL02;PM2.5;Diabetes Mellitus;734355,00;2684,50;12,10;2236,00;;;;;;;;
Albania;AL012;PM2.5;Diabetes Mellitus;178414,00;566,30;14,30;512,00;;;;;;;;
Albania;AL013;NO2;Diabetes Mellitus;59697,00;794,20;4,20;1,00;;;;;;;;
Belgium;BE336;PM2.5;Diabetes Mellitus;57699,00;470,70;6,20;0,00;;;;;;;;
Albania;AL014;NO2;Diabetes Mellitus;92026,00;844,20;5,00;1,00;;;;;;;;
Albania;AL014;PM2.5;Diabetes Mellitus;92026,00;844,20;11,40;210,00;;;;;;;;
Belgium;BE342;PM2.5;Diabetes Mellitus;35129,00;598,80;5,60;0,00;;;;;;;;
Belgium;BE344;PM2.5;Diabetes Mellitus;45918,00;600,70;5,70;0,00;;;;;;;;
Albania;AL021;PM2.5;Diabetes Mellitus;207743,00;1690,50;11,00;516,00;;;;;;;;
Albania;AL021;NO2;Diabetes Mellitus;207743,00;1690,50;5,20;6,00;;;;;;;;
Albania;AL022;NO2;Diabetes Mellitus;526612,00;994,00;7,50;473,00;;;;;;;;
Albania;AL022;NO2;Diabetes Mellitus;526612,00;994,00;7,50;50,00;;;;;;;;
Albania;AL011;NO2;Diabetes Mellitus;95941,00;1014,30;4,30;1,00;;;;;;;;
Albania;AL013;PM2.5;Diabetes Mellitus;59697,00;794,20;10,10;117,00;;;;;;;;
Belgium;BE343;PM2.5;Diabetes Mellitus;42556,00;557,30;6,00;0,00;;;;;;;;
Albania;AL012;NO2;Diabetes Mellitus;178414,00;566,30;7,00;3,00;;;;;;;;
Albania;AL015;NO2;Diabetes Mellitus;150994,00;1354,00;4,30;44,00;;;;;;;;
Albania;AL021;NO2;Diabetes Mellitus;207743,00;1690,50;5,20;57,00;;;;;;;;
Albania;AL022;PM2.5;Diabetes Mellitus;526612,00;994,00;13,80;1720,00;;;;;;;;
Albania;AL032;PM2.5;Diabetes Mellitus;217475,00;1121,00;13,80;589,00;;;;;;;;
Belgium;BE344;PM2.5;Ischemic heart disease;45918,00;600,70;5,70;0,00;;;;;;;;
Albania;AL032;NO2;Diabetes Mellitus;217475,00;1121,00;7,60;58,00;;;;;;;;
Albania;AL034;PM2.5;Diabetes Mellitus;154787,00;766,40;9,80;380,00;;;;;;;;
Albania;AL035;NO2;Diabetes Mellitus;117449,00;741,10;5,30;37,00;;;;;;;;
Albania;AL012;NO2;Diabetes Mellitus;178414,00;566,30;7,00;34,00;;;;;;;;
Belgium;BE342;PM2.5;Ischemic heart disease;35129,00;598,80;5,60;0,00;;;;;;;;
Albania;AL014;NO2;Diabetes Mellitus;92026,00;844,20;5,00;11,00;;;;;;;;
Belgium;BE343;PM2.5;Ischemic heart disease;42556,00;557,30;6,00;0,00;;;;;;;;
Albania;AL011;PM2.5;Diabetes Mellitus;95941,00;1014,30;10,00;193,00;;;;;;;;
Albania;AL032;NO2;Diabetes Mellitus;217475,00;1121,00;7,60;6,00;;;;;;;;
Albania;AL031;NO2;Diabetes Mellitus;99538,00;740,10;5,80;3,00;;;;;;;;
Albania;AL015;NO2;Diabetes Mellitus;150994,00;1354,00;4,30;4,00;;;;;;;;
Belgium;BE343;PM2.5;Lung cancer;42556,00;557,30;6,00;0,00;;;;;;;;
Albania;AL011;NO2;Diabetes Mellitus;95941,00;1014,30;4,30;12,00;;;;;;;;
Albania;AL034;NO2;Diabetes Mellitus;154787,00;766,40;5,80;5,00;;;;;;;;
Albania;AL013;NO2;Diabetes Mellitus;59697,00;794,20;4,20;14,00;;;;;;;;
Albania;AL031;NO2;Diabetes Mellitus;99538,00;740,10;5,80;30,00;;;;;;;;
Albania;AL031;PM2.5;Diabetes Mellitus;99538,00;740,10;11,20;245,00;;;;;;;;
Belgium;BE342;PM2.5;Lung cancer;35129,00;598,80;5,60;0,00;;;;;;;;
Albania;AL015;PM2.5;Diabetes Mellitus;150994,00;1354,00;10,30;333,00;;;;;;;;
Albania;AL033;NO2;Diabetes Mellitus;50312,00;672,90;4,50;12,00;;;;;;;;
Albania;AL033;PM2.5;Diabetes Mellitus;50312,00;672,90;9,60;102,00;;;;;;;;
Albania;AL035;NO2;Diabetes Mellitus;117449,00;741,10;5,30;4,00;;;;;;;;
Belgium;BE344;PM2.5;Lung cancer;45918,00;600,70;5,70;0,00;;;;;;;;
